RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
"",29,24,STATE_TRIGGER_SELECT,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",23,18,RESERVED,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",17,17,TX_WAIT_RFON_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
"",16,16,RX_WAIT_RFON_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
"",15,8,TX_BITPHASE,"",72,"","","",72,"",72,"",72,"",72,"",0,"","","","","","","",50,"",0,"",0,"","","","","","","","","","","",""
"",7,7,RESERVED,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",6,6,TX_MILLER_SYNC_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",5,5,TX_SKIP_SEND_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",4,4,TX_PICC2_TIMESLOT_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",3,3,TX_FRAMESTEP_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",2,2,RX_MULTIPLE_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",1,1,MILLER_SYNC_ENABLE,"",0,"","","",1,"",1,"",1,"",1,"",0,"","","","","","","",1,"",0,"",0,"","","","","","","","","","","",""
"",0,0,INITIATOR,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
CLIF_ANA_PBF_CONTROL_REG,"","","","",2C,"","","","","","","","","","","","","","","","","",0A0,"","","","","","","","","","","","","","","","","",""
"",31,11,RESERVED,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",10,10,PBF_INVERT_ON_TXACTIVE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",9,9,PBF_ALM_AUTO_SWITCH_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",8,8,PBF_ALM_FW_RESET,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",7,7,PBF_SHORT_SELECT_RM,"",0,"","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","",""
"",6,6,PBF_PD_REG,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",5,5,PBF_EN_LIMVDHF,"",1,"","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","",""
"",4,4,RESERVED,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",3,2,PBF_SHORT_SELECT,"",3,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",1,0,PBF_MOD_SELECT,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
CLIF_ANA_TX_AMPLITUDE_REG,"","","","",00FFFF4000,"","","","","","","","","","","",00FFFF4000,"","","","","","","",00FFFF50F4,"",00FFFF507C,"",00FFFF507C,"",00FFFF0000,"","","","","","","","","",""
"",31,28,TX_GSN_CW_RM,"",F,"","","","","","","","","","","",F,"","","","","","","",F,"",F,"",F,"",F,"","","","","","","","","",""
"",27,24,TX_GSN_CW_CM,"",F,"","","","","","","","","","","",F,"","","","","","","",F,"",F,"",F,"",F,"","","","","","","","","",""
"",23,20,TX_GSN_MOD_RM,"",F,"","","","","","","","","","","",F,"","","","","","","",F,"",F,"",F,"",F,"","","","","","","","","",""
"",19,16,TX_GSN_MOD_CM,"",F,"","","","","","","","","","","",F,"","","","","","","",F,"",F,"",F,"",F,"","","","","","","","","",""
"",15,15,RESERVED,"",0,"","","","","","","","","","","",0,"","","","","","","",0,"",0,"",0,"",0,"","","","","","","","","",""
"",14,14,TX_ASKMODE_SELECT,"",1,"","","","","","","","","","","",1,"","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
"",13,12,TX_CW_AMPLITUDE_RM,"",0,"","","","","","","","","","","",0,"","","","","","","",1,"",1,"",1,"",0,"","","","","","","","","",""
"",11,10,RESERVED,"",0,"","","","","","","","","","","",0,"","","","","","","",0,"",0,"",0,"",0,"","","","","","","","","",""
"",9,8,TX_CW_AMPLITUDE_ALM_CM,"",0,"","","","","","","","","","","",0,"","","","","","","",0,"",0,"",0,"",0,"","","","","","","","","",""
"",7,3,TX_RESIDUAL_CARRIER,"",0,"","","","","","","","","","","",0,"","","","","","","",1E,"",F,"",F,"",0,"","","","","","","","","",""
"",2,2,TX_CW_TO_MAX_RM,"",0,"","","","","","","","","","","",0,"","","","","","","",1,"",1,"",1,"",0,"","","","","","","","","",""
"",1,1,TX_CW_TO_MAX_ALM_CM,"",0,"","","","","","","","","","","",0,"","","","","","","",0,"",0,"",0,"",0,"","","","","","","","","",""
"",0,0,TX_PD,"",0,"","","","","","","","","","","",0,"","","","","","","",0,"",0,"",0,"",0,"","","","","","","","","",""
CLIF_ANA_TX_CLK_CONTROL_REG,"","","","",1,"","","","","","","","","","","","","","","","","","","",0783,"",08F,"",08F,"","","","","","","","","","","",""
"",31,11,RESERVED,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",10,8,TX_CLK_MODE_OVUN_PREV,"",0,"","","","","","","","","","","","","","","","","","","",7,"",0,"",0,"","","","","","","","","","","",""
"",7,7,TX2_INV_RM,"",0,"","","","","","","","","","","","","","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
"",6,6,TX2_INV_CM,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",5,5,TX1_INV_RM,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",4,4,TX1_INV_CM,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",3,1,TX_CLK_MODE_RM,"",0,"","","","","","","","","","","","","","","","","","","",1,"",7,"",7,"","","","","","","","","","","",""
"",0,0,TX_PD_CLK_GEN,"",1,"","","","","","","","","","","","","","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
CLIF_TX_UNDERSHOOT_CONFIG_REG,"","","","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",17,"",0,"",0,"","","","","","","","","","","",""
"",31,16,TX_UNDERSHOOT_PATTERN,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",15,6,RESERVED,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",5,5,TX_UNDERSHOOT_PROT_LAST_SC_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",4,1,TX_UNDERSHOOT_PATTERN_LEN,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",B,"",0,"",0,"","","","","","","","","","","",""
"",0,0,TX_UNDERSHOOT_PROT_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",1,"",0,"",0,"","","","","","","","","","","",""
CLIF_TX_OVERSHOOT_CONFIG_REG,"","","","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",31,16,TX_OVERSHOOT_PATTERN,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",15,5,RESERVED,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",4,1,TX_OVERSHOOT_PATTERN_LEN,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",0,0,TX_OVERSHOOT_PROT_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
CLIF_ANA_TX_SHAPE_CONTROL_REG,"","","","",0,"","","","","","","","","","","","","","","","","","","",01B000F43,"",007010744,"",007010F33,"","","","","","","","","","","",""
"",31,29,RESERVED,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",28,24,TX_RESIDUAL_CARRIER_OV_PREV,"",0,"","","","","","","","","","","","","","","","","","","",1B,"",7,"",7,"","","","","","","","","","","",""
"",23,18,RESERVED,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",17,17,TX_SET_BYPASS_SC_SHAPING,"",0,"","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",16,12,RESERVED,"",0,"","","","","","","","","","","","","","","","","","","",0,"",10,"",10,"","","","","","","","","","","",""
"",11,8,TX_SET_SLEW_SHUNTREG,"",0,"","","","","","","","","","","","","","","","","","","",F,"",7,"",F,"","","","","","","","","","","",""
"",7,4,TX_SET_TAU_MOD_FALLING,"",0,"","","","","","","","","","","","","","","","","","","",4,"",4,"",3,"","","","","","","","","","","",""
"",3,0,TX_SET_TAU_MOD_RISING,"",0,"","","","","","","","","","","","","","","","","","","",3,"",4,"",3,"","","","","","","","","","","",""
CLIF_TX_CONTROL_REG,"","","","",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",31,18,RESERVED,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",17,17,TX_BOOSTER_CLOCK_SELECT,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",16,16,TX_BOOSTER_CLOCK_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",15,15,RESERVED,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",14,13,TX_ALM_LD_MASK_VALUE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",12,12,TX_ALM_LD_MASK_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",11,11,RESERVED,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",10,10,TX_ENV_SYNC_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",9,9,TX_ACTIVE_RF_SYNC_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",8,8,TX_CM_GSN_MOD_ON_TXACTIVE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",7,7,RESERVED,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",6,6,TX_ALM_BPSK_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",5,5,TX_ALM_TYPE_SELECT,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",4,4,TX_ALM_DRIVER_SELECT,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",3,3,TX_ALM_ENABLE,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",2,2,TX_INVERT,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
"",1,0,TX_SOURCE_SELECT,"",0,"","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","",""
CLIF_ANA_CLK_MAN_REG,"","","","",10,"","","","","","","","","","","",10,"","","","","",10,"","","","","","","","","","","","","","","","","",""
"",31,7,RESERVED,"",0,"","","","","","","","","","","",0,"","","","","",0,"","","","","","","","","","","","","","","","","",""
"",6,6,CLOCK_TX_SEL_SLALM,"",0,"","","","","","","","","","","",0,"","","","","",0,"","","","","","","","","","","","","","","","","",""
"",5,5,CLOCK_PD_RF_27M12,"",0,"","","","","","","","","","","",0,"","","","","",0,"","","","","","","","","","","","","","","","","",""
"",4,4,CLOCK_ADC_SEL_RF,"",1,"","","","","","","","","","","",1,"","","","","",1,"","","","","","","","","","","","","","","","","",""
"",3,3,CLOCK_TX_SEL_RF,"",0,"","","","","","","","","","","",0,"","","","","",0,"","","","","","","","","","","","","","","","","",""
"",2,0,CLOCK_CONFIG_DLL_ALM,"",0,"","","","","","","","","","","",0,"","","","","",0,"","","","","","","","","","","","","","","","","",""
CLIF_TX_DATA_MOD_REG,"","","","","","","","","","","","","","","","","","","","","","","","",0230104,"",15,"",16,"","","","","","","","","","","",""
"",31,24,RESERVED,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",23,16,TX_DATA_MOD_WIDTH,"","","","","","","","","","","","","","","","","","","","","",23,"",0,"",0,"","","","","","","","","","","",""
"",15,9,RESERVED,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",8,8,TX_DATA_MILLER_ENABLE,"","","","","","","","","","","","","","","","","","","","","",1,"",0,"",0,"","","","","","","","","","","",""
"",7,7,TX_DATA_INV_ENV,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",6,4,TX_DATA_ENV_TYPE,"","","","","","","","","","","","","","","","","","","","","",0,"",1,"",1,"","","","","","","","","","","",""
"",3,3,TX_DATA_SC_FREQ,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",2,0,TX_DATA_BIT_FREQ,"","","","","","","","","","","","","","","","","","","","","",4,"",5,"",6,"","","","","","","","","","","",""
CLIF_TX_SYMBOL23_MOD_REG,"","","","","","","","","","","","","","","","","","","","","","","","",0260104,"","","","","","","","","","","","","","","",""
"",31,24,RESERVED,"","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","",""
"",23,16,TX_S23_MODWIDTH,"","","","","","","","","","","","","","","","","","","","","",26,"","","","","","","","","","","","","","","",""
"",15,9,RESERVED,"","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","",""
"",8,8,TX_S23_MILLER_ENABLE,"","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","",""
"",7,7,TX_S23_INV_ENV,"","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","",""
"",6,4,TX_S23_ENV_TYPE,"","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","",""
"",3,3,TX_S23_SC_FREQ,"","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","",""
"",2,0,TX_S23_BIT_FREQ,"","","","","","","","","","","","","","","","","","","","","",4,"","","","","","","","","","","","","","","",""
CLIF_TX_SYMBOL01_MOD_REG,"","","","","","","","","","","","","","","","","","","","","","","","",0230104,"",15,"",16,"","","","","","","","","","","",""
"",31,24,RESERVED,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",23,16,TX_S01_MODWIDTH,"","","","","","","","","","","","","","","","","","","","","",23,"",0,"",0,"","","","","","","","","","","",""
"",15,9,RESERVED,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",8,8,TX_S01_MILLER_ENABLE,"","","","","","","","","","","","","","","","","","","","","",1,"",0,"",0,"","","","","","","","","","","",""
"",7,7,TX_S01_INV_ENV,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",6,4,TX_S01_ENV_TYPE,"","","","","","","","","","","","","","","","","","","","","",0,"",1,"",1,"","","","","","","","","","","",""
"",3,3,TX_S01_SC_FREQ,"","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",2,0,TX_S01_BIT_FREQ,"","","","","","","","","","","","","","","","","","","","","",4,"",5,"",6,"","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
